DISTRIBUIDORA_ID	DISTRIBUIDORA_SIGLA	REGIAO	INDEX_DIST	ANO_INICIO_ANEEL	ANO_FIM_ANEEL
5160	CEB	CO	2	2000	2999
6072	ENEL GO	CO	3	2000	2999
404	EMS	CO	5	2000	2999
405	EMT	CO	6	2000	2999
43	CELPE	NE	2	2000	2999
37	EQUATORIAL MA	NE	9	2000	2999
47	COELBA	NE	3	2000	2999
40	COSERN	NE	4	2000	2999
39	ENEL CE	NE	6	2000	2999
6600	EPB	NE	7	2000	2999
44	EQUATORIAL AL	NE	8	2000	2999
38	EQUATORIAL PI	NE	10	2000	2999
6587	ESE	NE	11	2000	2999
7019	AME	NO	2	2010	2999
370	BOA VISTA	NO	3	2000	2999
31	CEA	NO	4	2000	2999
369	ERO	NO	5	2000	2999
26	EAC	NO	7	2000	2999
371	EQUATORIAL PA	NO	8	2000	2999
32	ETO	NO	9	2000	2999
4950	CEMIG	SE	2	2000	2999
380	EDP ES	SE	13	2000	2999
390	ENEL SP	SE	17	2000	2999
382	LIGHT	SE	23	2000	2999
5707	CEEE	SU	2	2000	2999
5697	CELESC	SU	3	2000	2999
2866	COPEL	SU	7	2000	2999
